Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,0
Sample Interval,2e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-8.320e-04,4.91688
-8.318e-04,4.91
-8.316e-04,4.91344
-8.314e-04,4.90469
-8.312e-04,4.91219
-8.310e-04,4.90562
-8.308e-04,4.90281
-8.306e-04,4.90031
-8.304e-04,4.90281
-8.302e-04,4.89781
-8.300e-04,4.9175
-8.298e-04,4.905
-8.296e-04,4.90969
-8.294e-04,4.91063
-8.292e-04,4.9075
-8.290e-04,4.91312
-8.288e-04,4.91406
-8.286e-04,4.91188
-8.284e-04,4.91219
-8.282e-04,4.91156
-8.280e-04,4.90188
-8.278e-04,4.91406
-8.276e-04,4.90906
-8.274e-04,4.90625
-8.272e-04,4.90813
-8.270e-04,4.90625
-8.268e-04,4.91469
-8.266e-04,4.9075
-8.264e-04,4.91344
-8.262e-04,4.90313
-8.260e-04,4.9075
-8.258e-04,4.91625
-8.256e-04,4.91094
-8.254e-04,4.91563
-8.252e-04,4.90406
-8.250e-04,4.91469
-8.248e-04,4.905
-8.246e-04,4.91281
-8.244e-04,4.90688
-8.242e-04,4.90688
-8.240e-04,4.91219
-8.238e-04,4.89938
-8.236e-04,4.91219
-8.234e-04,4.90719
-8.232e-04,4.91406
-8.230e-04,4.91656
-8.228e-04,4.91563
-8.226e-04,4.90688
-8.224e-04,4.90937
-8.222e-04,4.90906
-8.220e-04,4.91094
-8.218e-04,4.90062
-8.216e-04,4.90719
-8.214e-04,4.90937
-8.212e-04,4.90719
-8.210e-04,4.90719
-8.208e-04,4.90625
-8.206e-04,4.91563
-8.204e-04,4.905
-8.202e-04,4.9075
-8.200e-04,4.91094
-8.198e-04,4.90344
-8.196e-04,4.90344
-8.194e-04,4.90469
-8.192e-04,4.9125
-8.190e-04,4.91437
-8.188e-04,4.92
-8.186e-04,4.91
-8.184e-04,4.92031
-8.182e-04,4.90781
-8.180e-04,4.91781
-8.178e-04,4.90906
-8.176e-04,4.9075
-8.174e-04,4.90813
-8.172e-04,4.90594
-8.170e-04,4.905
-8.168e-04,4.90875
-8.166e-04,4.91094
-8.164e-04,4.91375
-8.162e-04,4.9075
-8.160e-04,4.90219
-8.158e-04,4.90031
-8.156e-04,4.905
-8.154e-04,4.90656
-8.152e-04,4.90313
-8.150e-04,4.90094
-8.148e-04,4.91781
-8.146e-04,4.91406
-8.144e-04,4.91312
-8.142e-04,4.91563
-8.140e-04,4.90688
-8.138e-04,4.90937
-8.136e-04,4.91406
-8.134e-04,4.90781
-8.132e-04,4.91219
-8.130e-04,4.90813
-8.128e-04,4.90969
-8.126e-04,4.90437
-8.124e-04,4.91656
-8.122e-04,4.91281
-8.120e-04,4.90906
-8.118e-04,4.91156
-8.116e-04,4.90437
-8.114e-04,4.91156
-8.112e-04,4.90469
-8.110e-04,4.90406
-8.108e-04,4.915
-8.106e-04,4.90469
-8.104e-04,4.91312
-8.102e-04,4.91
-8.100e-04,4.9075
-8.098e-04,4.9025
-8.096e-04,4.90688
-8.094e-04,4.91063
-8.092e-04,4.9025
-8.090e-04,4.90188
-8.088e-04,4.90844
-8.086e-04,4.91125
-8.084e-04,4.91719
-8.082e-04,4.91094
-8.080e-04,4.91031
-8.078e-04,4.91625
-8.076e-04,4.90344
-8.074e-04,4.91156
-8.072e-04,4.90719
-8.070e-04,4.90656
-8.068e-04,4.90906
-8.066e-04,4.9025
-8.064e-04,4.90719
-8.062e-04,4.90719
-8.060e-04,4.915
-8.058e-04,4.91125
-8.056e-04,4.91688
-8.054e-04,4.91344
-8.052e-04,4.91781
-8.050e-04,4.91531
-8.048e-04,4.91125
-8.046e-04,4.9025
-8.044e-04,4.90656
-8.042e-04,4.90688
-8.040e-04,4.90313
-8.038e-04,4.91312
-8.036e-04,4.91031
-8.034e-04,4.91156
-8.032e-04,4.91125
